1759875829.784624, time_ms,adc,voltage_V
1759875835.0941687, ,
1759875835.0944521, 640
1759875835.294649, 5915
1759875835.2948334, ,
1759875835.2951176, 641
1759875835.495335, 6115
1759875835.4955225, ,
1759875835.4958074, 641
1759875835.6961124, 6316
1759875835.6962998, ,
1759875835.6965837, 642
1759875835.8967416, 6516
1759875835.89693, ,
1759875835.897214, 642
1759875836.097437, 6717
1759875836.0976214, ,
1759875836.0979033, 641
1759875836.2981527, 6918
1759875836.2983458, ,
1759875836.298627, 640
1759875836.49884, 7118
1759875836.4990244, ,
1759875836.4993067, 640
1759875836.6995568, 7318
1759875836.6997476, ,
1759875836.7000828, 639
1759875836.9002688, 7519
1759875836.900457, ,
1759875836.9007406, 640
1759875837.1009011, 7719
1759875837.10109, ,
1759875837.1013744, 639
1759875837.3016024, 7920
1759875837.3017879, ,
1759875837.3020716, 640
1759875837.5022907, 8121
1759875837.5024776, ,
1759875837.5027633, 638
1759875837.7030606, 8322
1759875837.7032566, ,
1759875837.7035444, 638
1759875837.9036896, 8521
1759875837.9038818, ,
1759875837.9042091, 640
1759875838.1043792, 8722
1759875838.1045616, ,
1759875838.1048458, 640
1759875838.3050797, 8923
1759875838.3052692, ,
1759875838.3055544, 640
1759875838.5057902, 9123
1759875838.5059748, ,
1759875838.5062587, 640
1759875838.7064962, 9324
1759875838.706688, ,
1759875838.706975, 639
1759875838.9071689, 9525
1759875838.9073544, ,
1759875838.907637, 640
1759875839.1078522, 9724
1759875839.1080809, ,
1759875839.1083684, 640
1759875839.3085492, 9925
1759875839.3087323, ,
1759875839.309014, 640
1759875839.5092912, 10126
1759875839.5094788, ,
1759875839.5098598, 638
1759875839.7100477, 10327
1759875839.7102363, ,
1759875839.7136588, 639
1759875839.910691, 10527
1759875839.9108837, ,
1759875839.9143548, 640
1759875840.1113772, 10728
1759875840.1115658, ,
1759875840.1151664, 640
1759875840.3121428, 10929
1759875840.3123338, ,
1759875840.315909, 640
1759875840.5127974, 11128
1759875840.5129879, ,
1759875840.5168607, 640
1759875840.7134953, 11329
1759875840.7136712, ,
1759875840.7173717, 639
1759875840.91414, 11530
1759875840.9143276, ,
1759875840.9181013, 640
1759875841.1148472, 11730
1759875841.1150355, ,
1759875841.1187665, 640
1759875841.3155475, 11931
1759875841.3192737, ,
1759875841.3195682, 640
1759875841.5162947, 12132
1759875841.520046, ,
1759875841.520337, 640
1759875841.7169294, 12333
1759875841.7207232, ,
1759875841.7210155, 640
1759875841.917638, 12533
1759875841.9214857, ,
1759875841.9217815, 640
1759875842.1220696, 12733
1759875842.1222599, ,
1759875842.1225426, 640
1759875842.3227446, 12934
1759875842.3229358, ,
1759875842.3232207, 642
1759875842.5235348, 13134
1759875842.5237257, ,
1759875842.5240474, 642
1759875842.7242799, 13335
1759875842.7244678, ,
1759875842.7247543, 642
1759875842.9250345, 13536
1759875842.9252229, ,
1759875842.9255083, 642
1759875843.1257265, 13736
1759875843.1259139, ,
1759875843.126197, 643
1759875843.3264298, 13937
1759875843.3266199, ,
1759875843.3269036, 643
1759875843.5272472, 14138
1759875843.5274408, ,
1759875843.5277267, 643
1759875843.7279859, 14339
1759875843.7281826, ,
1759875843.728467, 644
1759875843.9286325, 14538
1759875843.9288201, ,
1759875843.9291048, 643
1759875844.1294572, 14739
1759875844.1296513, ,
1759875844.1299374, 644
1759875844.3300867, 14940
1759875844.3302743, ,
1759875844.3305576, 643
1759875844.5308142, 15140
1759875844.5310102, ,
1759875844.5312963, 644
1759875844.7315333, 15341
1759875844.7317235, ,
1759875844.7320523, 644
1759875844.9322438, 15542
1759875844.9324336, ,
1759875844.9327178, 643
1759875845.132876, 15742
1759875845.1330645, ,
1759875845.1333468, 643
1759875845.3336341, 15943
1759875845.3338249, ,
1759875845.3341064, 644
1759875845.5342968, 16143
1759875845.5344875, ,
1759875845.5347726, 645
1759875845.7349992, 16344
1759875845.7351968, ,
1759875845.7354836, 644
1759875845.935694, 16544
1759875845.9358828, ,
1759875845.936221, 643
1759875846.1363826, 16745
1759875846.1365752, ,
1759875846.1368623, 645
1759875846.3370447, 16946
1759875846.337234, ,
1759875846.3375227, 644
1759875846.5378184, 17146
1759875846.5380118, ,
1759875846.5382977, 645
1759875846.7385118, 17347
1759875846.7387087, ,
1759875846.7389946, 644
1759875846.9391508, 17548
1759875846.9393399, ,
1759875846.9396262, 644
1759875847.1398983, 17748
1759875847.140133, ,
1759875847.1404161, 644
1759875847.3405535, 17948
1759875847.3407502, ,
1759875847.341039, 644
1759875847.5412407, 18149
1759875847.5414321, ,
1759875847.5417168, 644
1759875847.7419815, 18350
1759875847.742168, ,
1759875847.7424517, 644
1759875847.9426084, 18550
1759875847.942795, ,
1759875847.9430773, 644
1759875848.143299, 18751
1759875848.143487, ,
1759875848.1437695, 644
1759875848.3440871, 18952
1759875848.3442743, ,
1759875848.3445566, 645
1759875848.5447378, 19152
1759875848.544929, ,
1759875848.5452135, 644
1759875848.7453992, 19353
1759875848.7455864, ,
1759875848.7458694, 644
1759875848.946128, 19554
1759875848.9463153, ,
1759875848.9465976, 643
1759875849.1467853, 19753
1759875849.1469724, ,
1759875849.1472552, 645
1759875849.3474627, 19954
1759875849.3476486, ,
1759875849.3479662, 644
1759875849.5482821, 20155
1759875849.5484731, ,
1759875849.5487573, 644
1759875849.7489195, 20356
1759875849.7491145, ,
1759875849.749404, 644
1759875849.9495776, 20556
1759875849.9497678, ,
1759875849.9500544, 644
1759875850.150317, 20757
1759875850.1505055, ,
1759875850.1507885, 644
1759875850.3509645, 20958
1759875850.3511517, ,
1759875850.3514347, 644
1759875850.5517037, 21158
1759875850.5519, ,
1759875850.5522335, 644
1759875850.7524104, 21358
1759875850.7526019, ,
1759875850.7528875, 645
1759875850.9530299, 21559
1759875850.9532192, ,
1759875850.9535038, 644
1759875851.1537247, 21760
1759875851.153913, ,
1759875851.154196, 645
1759875851.3544736, 21960
1759875851.3546584, ,
1759875851.3549426, 644
