time_ms,adc
100,0.50
300,0.50
500,0.50
701,0.50
902,0.50
1102,0.50
1303,0.50
1504,0.50
1704,0.50
1905,0.50
2106,0.50
2307,0.50
2507,0.50
2708,0.50
2908,0.50
3108,0.50
3309,0.50
3510,0.50
3710,0.50
3911,0.49
4112,0.49
4313,0.50
4513,0.50
4714,0.50
4915,0.49
5115,0.49
5316,0.49
5517,0.49
5718,0.49
5918,0.49
6119,0.49
6319,0.49
6519,0.49
6720,0.49
6921,0.50
7121,0.49
7322,0.50
7523,0.49
7724,0.49
7924,0.49
8125,0.49
8326,0.50
8526,0.49
8727,0.49
8928,0.49
9128,0.49
9329,0.49
9530,0.49
9730,0.49
9930,0.49
10131,0.50
10332,0.49
10532,0.49
10733,0.50
10934,0.49
11134,0.49
11335,0.50
11536,0.49
11737,0.49
11937,0.49
12138,0.49
12339,0.49
12539,0.49
12740,0.49
12941,0.49
13142,0.50
13342,0.50
13543,0.50
13744,0.51
13944,0.50
14145,0.50
14346,0.51
14546,0.51
14747,0.50
14948,0.50
15149,0.50
15349,0.50
15550,0.50
15751,0.50
15951,0.50
16152,0.50
16353,0.50
16553,0.50
16754,0.50
16955,0.50
17156,0.50
17356,0.50
17557,0.50
17758,0.50
17958,0.50
18159,0.50
18360,0.50
18561,0.50
18761,0.50
18962,0.50
19163,0.50
