time_ms,adc
99,184
110,184
120,184
131,184
141,183
151,184
162,184
173,184
183,183
193,184
203,184
215,184
225,184
235,184
245,184
257,184
267,183
277,183
287,184
297,184
309,184
319,184
329,184
339,184
350,185
361,184
371,184
381,184
392,184
402,184
413,184
423,183
434,185
444,183
454,184
465,183
476,184
486,184
496,184
506,184
518,183
528,183
538,183
548,183
559,183
570,184
580,183
590,184
601,184
611,184
622,184
632,184
643,184
653,184
663,184
674,184
685,184
695,184
705,184
716,184
727,183
737,183
747,184
757,184
769,183
779,183
789,183
799,183
809,184
821,184
831,184
841,183
851,184
862,184
873,182
883,184
893,183
904,184
914,183
925,183
935,183
946,182
956,183
966,189
977,202
988,228
998,253
1008,277
1019,297
1030,311
1040,320
1050,326
1060,324
1072,325
1082,325
1092,325
1102,325
1114,326
1124,325
1134,325
1144,326
1156,325
1166,325
1176,325
1186,325
1198,325
1208,325
1218,325
1228,325
1240,325
1250,325
1260,325
1270,325
1282,326
1292,325
1302,325
1312,326
1324,324
1334,325
1344,325
1354,325
1366,325
1376,325
1386,324
1396,325
1408,325
1418,325
1428,325
1438,325
1449,325
1460,324
1470,325
1480,325
1491,325
1502,325
1512,325
1522,324
1533,325
1544,325
1554,324
1564,325
1575,325
1586,325
1596,325
1606,324
1617,325
1628,324
1638,324
1648,325
1659,324
1670,324
1680,324
1690,324
1701,324
1712,325
1722,324
1732,324
1743,325
1754,324
1764,325
1774,325
1785,325
1796,324
1806,325
1816,325
1827,324
1838,324
1848,324
1858,324
1869,324
1880,325
1890,324
1900,325
1911,325
1922,324
1932,325
1942,324
1953,324
1964,325
1974,324
1984,324
1995,324
2006,324
2016,324
2026,325
2037,324
2048,325
2058,325
2068,324
2079,324
2089,323
2100,324
2110,324
2121,324
2131,325
2142,324
2152,324
2163,325
2173,324
2184,324
2194,324
2205,324
2215,325
2226,324
2236,324
2247,324
2257,324
2268,324
2278,324
2289,324
2299,325
2310,324
2320,324
2331,324
2341,324
2352,324
2362,324
2373,324
2383,323
2394,324
2404,324
2415,324
2425,324
2436,323
2446,324
2457,324
2467,325
2478,324
2488,324
2498,324
2509,324
2520,323
2530,324
2540,324
2551,324
2562,324
2572,324
2582,324
2593,324
2604,324
2614,324
2624,324
2635,324
2646,324
2656,323
2666,323
2677,324
2688,323
2698,324
2708,324
2719,324
2729,324
2740,323
2750,323
2761,324
2771,324
2782,324
2792,324
2803,324
2813,324
2824,323
2834,324
2845,324
2855,324
2866,324
2876,324
2887,323
2897,324
2908,323
2918,324
2929,324
2939,324
2950,323
2960,324
2971,324
2981,324
2992,324
3002,323
3013,324
3023,324
3034,324
3044,325
3055,323
3065,324
3076,323
3086,324
3097,324
3107,324
3118,323
3128,324
3139,323
3149,324
3160,324
3170,323
3181,323
3191,324
3202,323
3212,324
3223,323
3233,323
3244,324
3254,324
3265,323
3275,324
3286,324
3296,324
3307,323
3317,323
3328,324
3338,323
3349,323
3359,323
3369,323
3380,324
3391,323
3401,323
3411,323
3422,323
3433,322
3443,323
3453,322
3464,322
3475,322
3485,320
3495,320
3506,318
3517,316
3527,315
3537,312
3548,308
3558,301
3569,292
3579,277
3590,253
3600,217
3611,175
3621,171
3632,168
3642,167
3653,166
3663,164
3674,162
3684,162
