time_ms,adc
100,1.08
101,1.08
103,1.08
104,1.08
106,1.08
107,1.08
109,1.08
110,1.08
112,1.08
114,1.08
115,1.08
117,1.08
118,1.08
120,1.08
121,1.08
123,1.08
125,1.08
126,1.07
129,1.08
130,1.08
132,1.08
133,1.07
135,1.08
136,1.08
138,1.08
140,1.07
141,1.08
143,1.08
144,1.08
146,1.08
147,1.08
149,1.08
151,1.07
152,1.07
154,1.07
155,1.08
157,1.08
158,1.07
160,1.08
161,1.08
163,1.08
165,1.08
166,1.08
168,1.08
169,1.07
172,1.08
173,1.08
175,1.08
177,1.08
178,1.08
180,1.08
181,1.08
183,1.07
184,1.07
186,1.08
187,1.07
189,1.08
191,1.08
192,1.07
194,1.07
195,1.08
197,1.08
198,1.08
200,1.08
202,1.08
203,1.07
205,1.07
206,1.07
208,1.07
209,1.08
211,1.08
212,1.08
215,1.08
217,1.07
218,1.08
220,1.08
221,1.08
223,1.08
224,1.07
226,1.07
228,1.07
229,1.08
231,1.08
232,1.08
234,1.08
235,1.08
237,1.08
238,1.08
240,1.08
242,1.08
243,1.08
245,1.08
246,1.08
248,1.08
249,1.08
251,1.08
253,1.08
254,1.07
257,1.08
258,1.08
260,1.07
261,1.07
263,1.08
264,1.07
266,1.08
268,1.08
269,1.07
271,1.07
272,1.08
274,1.07
275,1.07
277,1.08
279,1.08
280,1.07
282,1.08
283,1.08
285,1.07
286,1.08
288,1.08
289,1.07
291,1.07
293,1.07
294,1.08
296,1.08
297,1.08
300,1.08
301,1.07
303,1.08
305,1.07
306,1.08
308,1.08
309,1.07
311,1.08
312,1.08
314,1.08
316,1.08
317,1.08
319,1.08
320,1.07
322,1.08
323,1.08
325,1.07
326,1.08
328,1.08
330,1.08
331,1.08
333,1.08
334,1.08
336,1.07
337,1.07
339,1.08
342,1.08
343,1.07
345,1.08
346,1.08
348,1.08
349,1.08
351,1.08
352,1.07
354,1.08
356,1.08
357,1.07
359,1.08
360,1.08
362,1.08
363,1.08
365,1.08
367,1.08
368,1.08
370,1.07
371,1.08
373,1.08
374,1.07
376,1.08
377,1.07
379,1.08
381,1.08
382,1.08
385,1.08
386,1.07
388,1.08
389,1.08
391,1.08
393,1.07
394,1.08
396,1.08
397,1.08
399,1.08
400,1.08
402,1.07
403,1.07
405,1.07
407,1.08
408,1.08
410,1.08
411,1.08
413,1.08
414,1.08
416,1.08
418,1.08
419,1.07
421,1.08
422,1.08
424,1.08
425,1.08
428,1.08
429,1.08
431,1.08
433,1.08
434,1.08
436,1.08
437,1.08
439,1.08
440,1.08
442,1.08
444,1.08
445,1.08
447,1.07
448,1.08
450,1.07
451,1.07
453,1.08
454,1.08
456,1.07
458,1.08
459,1.07
461,1.08
462,1.08
464,1.08
465,1.08
467,1.07
470,1.07
471,1.08
473,1.07
474,1.07
476,1.07
477,1.07
479,1.08
480,1.08
482,1.08
484,1.07
485,1.07
487,1.08
488,1.07
490,1.07
491,1.07
493,1.07
495,1.07
496,1.08
498,1.08
499,1.08
501,1.07
502,1.07
