time_ms,adc
100,1.08
300,1.08
500,1.07
701,1.07
902,1.08
1102,1.08
1303,1.07
1504,1.07
1704,1.08
1905,1.08
2106,1.08
2307,1.07
2507,1.08
2708,1.08
2908,1.08
3108,1.07
3309,1.08
3510,1.07
3710,1.07
3911,1.07
4112,1.08
4313,1.08
4513,1.08
4714,1.08
4915,1.07
5115,1.07
5316,1.08
5517,1.08
5718,1.08
5918,1.07
6119,1.08
6320,1.08
6519,1.08
6720,1.07
6921,1.07
7121,1.08
7322,1.08
7523,1.08
7724,1.07
7924,1.10
8125,1.10
8326,1.09
8526,1.09
8727,1.05
8928,0.99
9128,0.89
9329,0.90
9530,1.20
9731,1.15
9930,1.15
10131,1.28
10332,1.33
10532,1.25
10733,0.96
10934,0.49
11134,0.07
11335,0.07
11536,0.63
11737,1.09
11937,1.42
12138,1.62
12339,1.81
12539,1.83
12740,2.15
12941,2.15
13142,2.15
13342,2.15
13543,2.15
13744,2.15
13944,2.15
14145,1.85
14346,1.12
14546,1.10
14747,1.10
14948,1.10
15149,1.10
15349,1.10
15550,1.10
15751,1.10
15951,1.10
16152,1.10
16353,1.10
16553,1.10
16754,1.10
16955,1.10
17156,1.10
17356,1.10
17557,1.10
17758,1.10
17958,1.10
18159,1.10
18360,1.10
18561,1.10
18761,1.10
18962,1.10
19163,1.10
19363,1.10
19564,1.10
19765,1.10
19965,1.10
20166,1.10
20367,1.11
20568,0.81
20768,0.92
20969,1.29
21170,1.25
21370,1.28
21571,1.45
21772,1.54
21972,1.52
22173,1.41
22374,1.15
22575,0.86
22775,0.52
22976,0.26
23177,0.07
23377,0.07
23578,0.07
23779,0.07
23980,0.07
24180,0.07
24381,0.07
24582,0.07
24782,0.07
24983,0.07
25184,0.07
25384,0.07
25585,0.07
25786,0.07
25987,0.08
26187,0.13
26388,0.93
26589,1.44
26789,2.07
26990,2.14
27191,2.14
27392,2.14
27592,2.14
27793,2.15
27994,2.15
28194,2.14
28395,2.14
28596,2.11
28796,1.12
28997,1.11
29198,1.11
29399,1.11
29599,1.11
29800,1.11
30001,1.11
30201,1.11
