time_ms,adc
100,0.44
300,0.44
500,0.44
701,0.44
902,0.44
1102,0.44
1303,0.44
1504,0.44
1704,0.44
1905,0.44
2106,0.44
2307,0.44
2507,0.44
2708,0.44
2908,0.44
3108,0.44
3309,0.44
3510,0.44
3710,0.44
3911,0.44
4112,0.44
4313,0.45
4513,0.56
4714,0.59
4915,0.64
5115,0.62
5316,0.73
5517,0.81
5718,1.02
5918,1.25
6119,1.09
6319,1.36
6519,0.48
6720,0.46
6921,0.97
7121,1.44
7322,0.93
7523,0.69
7724,0.61
7924,0.73
8125,0.60
8326,0.44
8526,0.44
8727,0.44
8928,0.44
9128,0.45
9329,0.45
9530,0.44
9730,0.44
9930,0.44
10131,0.44
10332,0.45
10532,0.44
10733,0.44
10934,0.44
11134,0.44
11335,0.44
11536,0.44
11737,0.44
11937,0.44
12138,0.44
12339,0.44
12539,0.44
12740,0.44
12941,0.45
13142,0.44
13342,0.45
13543,0.44
13744,0.45
13944,0.44
14145,0.45
14346,0.45
14546,0.45
14747,0.44
14948,0.45
15149,0.44
15349,0.44
15550,0.45
15751,0.44
15951,0.45
16152,0.45
16353,0.44
16553,0.44
16754,0.44
16955,0.44
17156,0.44
17356,0.44
17557,0.44
17758,0.44
17958,0.44
18159,0.45
18360,0.45
18561,0.44
18761,0.44
18962,0.44
